student_id,session_number,score,archetype
19,14,71.3,plateau
19,15,72.2,plateau
19,16,74.3,plateau
20,1,61.2,improving
20,2,72.7,improving
20,3,73.1,improving
20,4,75.7,improving
20,5,74.7,improving
20,6,72.2,improving
20,7,70.9,improving
20,8,66.3,improving
20,9,74.4,improving
20,10,72.4,improving
20,11,69.6,improving
20,12,91.0,improving
20,13,87.8,improving
20,14,93.8,improving
20,15,89.6,improving
20,16,89.2,improving
21,1,62.7,declining
21,2,58.6,declining
21,3,55.4,declining
21,4,58.0,declining
21,5,60.4,declining
21,6,56.2,declining
21,7,62.6,declining
21,8,57.6,declining
21,9,53.8,declining
21,10,50.0,declining
21,11,59.0,declining
22,1,64.4,plateau
22,2,59.5,plateau
22,3,53.2,plateau
22,4,63.7,plateau
22,5,69.3,plateau
22,6,63.0,plateau
22,7,67.7,plateau
22,8,64.0,plateau
22,9,72.7,plateau
22,10,66.1,plateau
23,1,39.1,improving
23,2,44.7,improving
23,3,48.2,improving
23,4,52.9,improving
23,5,46.0,improving
23,6,56.2,improving
23,7,40.8,improving
23,8,44.6,improving
24,1,58.2,plateau
24,2,66.0,plateau
24,3,61.0,plateau
24,4,64.5,plateau
24,5,66.5,plateau
24,6,71.7,plateau
24,7,66.8,plateau
24,8,65.6,plateau
24,9,77.1,plateau
24,10,69.0,plateau
24,11,68.1,plateau
24,12,67.0,plateau
24,13,69.7,plateau
24,14,62.1,plateau
24,15,78.6,plateau
24,16,66.5,plateau
24,17,69.5,plateau
24,18,66.3,plateau
24,19,70.0,plateau
25,1,50.6,volatile
25,2,44.3,volatile
25,3,37.0,volatile
25,4,63.8,volatile
25,5,45.8,volatile
25,6,58.9,volatile
25,7,48.1,volatile
25,8,40.5,volatile
25,9,65.1,volatile
25,10,65.3,volatile
25,11,56.7,volatile
25,12,50.5,volatile
25,13,54.1,volatile
26,1,67.0,plateau
26,2,70.2,plateau
26,3,65.4,plateau
26,4,70.5,plateau
26,5,66.3,plateau
26,6,74.8,plateau
26,7,74.7,plateau
26,8,70.3,plateau
27,1,43.7,improving
27,2,53.6,improving
27,3,45.4,improving
27,4,56.3,improving
27,5,51.9,improving
27,6,53.8,improving
27,7,57.1,improving
27,8,51.4,improving
27,9,54.6,improving
27,10,56.7,improving
27,11,62.4,improving
28,1,33.4,volatile
28,2,43.5,volatile
28,3,40.8,volatile
28,4,56.2,volatile
28,5,48.4,volatile
28,6,39.5,volatile
28,7,38.1,volatile
28,8,36.2,volatile
28,9,27.3,volatile
28,10,55.4,volatile
28,11,45.8,volatile
28,12,58.7,volatile
28,13,65.6,volatile
29,1,63.2,improving
29,2,61.5,improving
29,3,74.1,improving
29,4,64.1,improving
29,5,71.7,improving
29,6,77.7,improving
29,7,75.9,improving
29,8,72.4,improving
29,9,75.7,improving
29,10,69.3,improving
29,11,90.7,improving
29,12,80.4,improving
29,13,85.9,improving
30,1,61.0,improving
30,2,63.1,improving
30,3,70.0,improving
30,4,66.5,improving
30,5,70.4,improving
30,6,65.5,improving
30,7,66.3,improving
30,8,76.1,improving
30,9,69.6,improving
30,10,74.0,improving
30,11,78.4,improving
30,12,72.6,improving
30,13,84.1,improving
30,14,92.2,improving
30,15,86.2,improving
30,16,96.6,improving
30,17,88.3,improving
31,1,50.3,volatile
31,2,65.7,volatile
31,3,62.2,volatile
31,4,67.5,volatile
31,5,41.9,volatile
31,6,47.3,volatile
31,7,67.1,volatile
31,8,61.0,volatile
32,1,59.0,plateau
32,2,62.4,plateau
32,3,65.8,plateau
32,4,74.5,plateau
32,5,75.2,plateau
32,6,77.4,plateau
32,7,73.5,plateau
32,8,82.8,plateau
32,9,68.6,plateau
32,10,70.1,plateau
32,11,74.5,plateau
32,12,71.5,plateau
32,13,70.5,plateau
32,14,64.2,plateau
32,15,69.3,plateau
33,1,59.8,improving
33,2,58.5,improving
33,3,63.8,improving
33,4,67.9,improving
33,5,72.4,improving
33,6,64.9,improving
33,7,69.6,improving
33,8,72.3,improving
33,9,82.0,improving
33,10,80.5,improving
34,1,36.3,volatile
34,2,33.7,volatile
34,3,49.2,volatile
34,4,41.8,volatile
34,5,33.5,volatile
34,6,50.0,volatile
34,7,51.1,volatile
34,8,39.9,volatile
34,9,49.4,volatile
34,10,30.9,volatile
34,11,29.9,volatile
34,12,30.4,volatile
35,1,45.0,volatile
35,2,41.7,volatile
35,3,61.7,volatile
35,4,51.8,volatile
35,5,36.5,volatile
35,6,59.1,volatile
35,7,53.0,volatile
35,8,44.4,volatile
35,9,45.6,volatile
35,10,34.4,volatile
36,1,69.3,volatile
36,2,51.5,volatile
36,3,50.8,volatile
36,4,43.9,volatile
36,5,51.1,volatile
36,6,54.6,volatile
36,7,56.8,volatile
36,8,70.7,volatile
36,9,54.8,volatile
36,10,46.0,volatile
37,1,39.6,declining
37,2,40.4,declining
37,3,45.4,declining
37,4,33.2,declining
37,5,36.8,declining
37,6,33.0,declining
37,7,41.8,declining
37,8,36.0,declining
37,9,33.3,declining
37,10,24.7,declining
37,11,33.7,declining
37,12,23.1,declining
37,13,31.7,declining
37,14,31.5,declining
37,15,26.5,declining
37,16,27.8,declining
38,1,76.0,volatile
38,2,70.8,volatile
38,3,83.1,volatile
38,4,69.2,volatile
38,5,67.4,volatile
38,6,63.3,volatile
38,7,59.8,volatile
38,8,56.1,volatile
38,9,60.7,volatile
38,10,52.9,volatile
38,11,70.2,volatile
39,1,47.8,improving
39,2,47.9,improving
39,3,54.0,improving
39,4,52.7,improving
39,5,56.9,improving
39,6,63.3,improving
39,7,52.2,improving
39,8,58.1,improving
39,9,60.8,improving
39,10,67.9,improving
39,11,63.8,improving
40,1,55.9,improving
40,2,56.9,improving
40,3,52.7,improving
40,4,60.2,improving
40,5,56.7,improving
40,6,56.7,improving
40,7,62.5,improving
40,8,64.3,improving
40,9,69.6,improving
40,10,62.0,improving
40,11,66.2,improving
40,12,68.2,improving
40,13,73.9,improving
40,14,67.4,improving
41,1,26.0,volatile
41,2,59.7,volatile
41,3,33.4,volatile
41,4,32.6,volatile
41,5,56.3,volatile
41,6,39.9,volatile
41,7,46.3,volatile
41,8,60.4,volatile
41,9,35.9,volatile
41,10,38.6,volatile
41,11,44.3,volatile
42,1,40.6,volatile
42,2,48.5,volatile
42,3,47.2,volatile
42,4,60.0,volatile
42,5,35.1,volatile
42,6,64.6,volatile
42,7,46.6,volatile
42,8,33.9,volatile
42,9,43.7,volatile
42,10,52.1,volatile
42,11,46.2,volatile
42,12,51.7,volatile
42,13,44.1,volatile
42,14,34.9,volatile
42,15,31.7,volatile
42,16,42.4,volatile
43,1,39.1,improving
43,2,40.0,improving
43,3,44.1,improving
43,4,35.3,improving
43,5,47.9,improving
43,6,56.7,improving
43,7,54.7,improving
43,8,49.9,improving
43,9,54.1,improving
43,10,46.0,improving
43,11,51.1,improving
43,12,66.2,improving
43,13,52.0,improving
43,14,60.6,improving
44,1,67.5,declining
44,2,69.2,declining
44,3,72.9,declining
44,4,59.9,declining
44,5,65.4,declining
44,6,59.7,declining
44,7,59.9,declining
44,8,67.6,declining
45,1,33.9,improving
45,2,38.9,improving
45,3,39.4,improving
45,4,47.6,improving
45,5,48.8,improving
45,6,52.3,improving
45,7,56.1,improving
45,8,43.0,improving
45,9,61.7,improving
45,10,52.2,improving
45,11,62.6,improving
45,12,70.9,improving
45,13,65.2,improving
46,1,56.2,improving
46,2,59.8,improving
46,3,62.5,improving
46,4,64.6,improving
46,5,63.0,improving
46,6,69.3,improving
46,7,69.9,improving
46,8,73.9,improving
46,9,64.1,improving
46,10,61.9,improving
46,11,77.5,improving
46,12,89.0,improving
46,13,85.0,improving
47,1,49.7,improving
47,2,56.2,improving
47,3,50.1,improving
47,4,57.6,improving
47,5,55.3,improving
47,6,60.3,improving
47,7,66.0,improving
47,8,64.1,improving
47,9,62.2,improving
47,10,67.1,improving
47,11,68.7,improving
47,12,63.3,improving
47,13,78.2,improving
48,1,57.2,declining
48,2,58.8,declining
48,3,56.6,declining
48,4,56.5,declining
48,5,55.1,declining
48,6,53.0,declining
48,7,54.5,declining
48,8,54.5,declining
48,9,61.1,declining
48,10,53.2,declining
48,11,49.1,declining
48,12,60.3,declining
49,1,32.1,plateau
49,2,45.5,plateau
49,3,43.8,plateau
49,4,44.7,plateau
49,5,49.6,plateau
49,6,45.4,plateau
49,7,41.2,plateau
49,8,51.9,plateau
49,9,48.0,plateau
49,10,42.9,plateau
49,11,41.8,plateau
49,12,52.9,plateau
49,13,38.7,plateau
49,14,53.8,plateau
49,15,46.3,plateau
49,16,49.6,plateau
49,17,51.6,plateau
49,18,54.7,plateau
50,1,60.4,improving
50,2,54.6,improving
50,3,52.5,improving
50,4,62.7,improving
50,5,56.4,improving
50,6,64.6,improving
50,7,60.4,improving
50,8,73.6,improving
51,1,59.3,volatile
51,2,79.5,volatile
51,3,68.8,volatile
51,4,53.2,volatile
51,5,93.3,volatile
51,6,52.5,volatile
51,7,62.8,volatile
51,8,57.8,volatile
51,9,80.8,volatile
51,10,81.1,volatile
52,1,66.5,plateau
52,2,72.6,plateau
52,3,74.9,plateau
52,4,72.5,plateau
52,5,80.6,plateau
52,6,80.6,plateau
52,7,79.9,plateau
52,8,70.3,plateau
52,9,74.6,plateau
52,10,75.9,plateau
52,11,82.9,plateau
52,12,64.5,plateau
52,13,74.1,plateau
52,14,74.7,plateau
52,15,68.6,plateau
52,16,72.7,plateau
53,1,46.3,volatile
53,2,57.0,volatile
53,3,49.2,volatile
53,4,65.8,volatile
53,5,49.2,volatile
53,6,46.0,volatile
53,7,52.0,volatile
53,8,73.3,volatile
53,9,64.2,volatile
53,10,76.3,volatile
54,1,60.5,volatile
54,2,64.2,volatile
54,3,81.9,volatile
54,4,75.8,volatile
54,5,64.6,volatile
54,6,69.4,volatile
54,7,70.2,volatile
54,8,78.1,volatile
54,9,77.8,volatile
54,10,50.1,volatile
54,11,68.7,volatile
54,12,54.7,volatile
54,13,72.5,volatile
54,14,67.6,volatile
54,15,77.0,volatile
55,1,47.6,plateau
55,2,41.0,plateau
55,3,45.7,plateau
55,4,44.9,plateau
55,5,46.8,plateau
55,6,51.2,plateau
55,7,49.7,plateau
55,8,47.0,plateau
55,9,50.2,plateau
55,10,50.7,plateau
55,11,44.8,plateau
55,12,40.5,plateau
55,13,51.7,plateau
55,14,40.6,plateau
55,15,50.3,plateau
55,16,41.3,plateau
56,1,48.2,improving
56,2,49.6,improving
56,3,46.8,improving
56,4,45.0,improving
56,5,51.5,improving
56,6,53.2,improving
56,7,52.6,improving
56,8,49.2,improving
56,9,58.7,improving
56,10,61.2,improving
56,11,65.7,improving
56,12,64.2,improving
56,13,68.3,improving
56,14,63.5,improving
56,15,67.1,improving
56,16,66.1,improving
56,17,61.2,improving
57,1,68.1,improving
57,2,57.1,improving
57,3,56.9,improving
57,4,69.1,improving
57,5,76.0,improving
57,6,67.8,improving
57,7,75.7,improving
57,8,75.4,improving
57,9,72.9,improving
57,10,69.5,improving
57,11,78.0,improving
57,12,96.4,improving
57,13,94.3,improving
57,14,83.3,improving
57,15,88.7,improving
57,16,82.4,improving
57,17,87.6,improving
57,18,82.0,improving
58,1,59.6,volatile
58,2,45.9,volatile
58,3,60.9,volatile
58,4,65.0,volatile
58,5,52.8,volatile
58,6,41.6,volatile
58,7,66.7,volatile
58,8,43.6,volatile
58,9,43.8,volatile
58,10,60.2,volatile
58,11,57.1,volatile
58,12,41.3,volatile
58,13,68.3,volatile
58,14,42.7,volatile
58,15,58.6,volatile
59,1,66.2,declining
59,2,59.9,declining
59,3,54.8,declining
59,4,56.1,declining
59,5,58.3,declining
59,6,58.8,declining
59,7,53.7,declining
59,8,58.2,declining
59,9,49.0,declining
60,1,54.7,improving
60,2,54.7,improving
60,3,55.7,improving
60,4,58.4,improving
60,5,65.7,improving
60,6,53.5,improving
60,7,60.5,improving
60,8,62.8,improving
60,9,76.0,improving
60,10,79.8,improving
61,1,37.7,volatile
61,2,37.7,volatile
61,3,54.6,volatile
61,4,59.6,volatile
61,5,57.6,volatile
61,6,57.3,volatile
61,7,56.2,volatile
61,8,52.5,volatile
61,9,29.4,volatile
61,10,46.4,volatile
62,1,49.8,plateau
62,2,55.2,plateau
62,3,54.3,plateau
62,4,57.0,plateau
62,5,62.7,plateau
62,6,71.0,plateau
62,7,58.2,plateau
62,8,64.0,plateau
62,9,58.2,plateau
62,10,62.4,plateau
62,11,60.4,plateau
62,12,62.3,plateau
62,13,57.4,plateau
62,14,62.5,plateau
63,1,58.9,plateau
63,2,64.4,plateau
63,3,65.3,plateau
63,4,66.8,plateau
63,5,68.4,plateau
63,6,72.5,plateau
63,7,73.0,plateau
63,8,72.1,plateau
63,9,72.6,plateau
63,10,83.3,plateau
63,11,71.9,plateau
64,1,56.1,volatile
64,2,69.9,volatile
64,3,60.8,volatile
64,4,51.7,volatile
64,5,61.6,volatile
64,6,63.2,volatile
64,7,76.0,volatile
64,8,71.8,volatile
64,9,46.0,volatile
64,10,43.4,volatile
64,11,56.1,volatile
64,12,48.9,volatile
65,1,65.8,volatile
65,2,68.7,volatile
65,3,52.3,volatile
65,4,59.5,volatile
65,5,55.7,volatile
65,6,66.7,volatile
65,7,52.9,volatile
65,8,62.4,volatile
65,9,59.9,volatile
65,10,46.0,volatile
65,11,55.2,volatile
65,12,60.6,volatile
65,13,49.0,volatile
65,14,53.6,volatile
66,1,58.6,plateau
66,2,56.9,plateau
66,3,57.4,plateau
66,4,62.1,plateau
66,5,66.0,plateau
66,6,76.8,plateau
66,7,63.3,plateau
66,8,66.3,plateau
66,9,72.5,plateau
66,10,67.6,plateau
66,11,66.6,plateau
67,1,62.5,plateau
67,2,59.7,plateau
67,3,70.0,plateau
67,4,61.6,plateau
67,5,70.9,plateau
67,6,67.6,plateau
67,7,68.1,plateau
67,8,69.5,plateau
67,9,69.4,plateau
67,10,70.1,plateau
67,11,72.0,plateau
67,12,68.7,plateau
67,13,63.2,plateau
67,14,71.7,plateau
67,15,74.7,plateau
68,1,40.3,volatile
68,2,37.8,volatile
68,3,65.3,volatile
68,4,46.5,volatile
68,5,60.6,volatile
68,6,40.4,volatile
68,7,59.4,volatile
68,8,51.1,volatile
68,9,60.4,volatile
68,10,55.9,volatile
68,11,43.0,volatile
68,12,48.9,volatile
69,1,48.6,plateau
69,2,53.6,plateau
69,3,48.6,plateau
69,4,48.4,plateau
69,5,54.8,plateau
69,6,60.0,plateau
69,7,59.1,plateau
69,8,61.3,plateau
69,9,54.8,plateau
69,10,61.5,plateau
69,11,52.4,plateau
69,12,55.1,plateau
69,13,61.7,plateau
69,14,62.3,plateau
70,1,68.1,improving
70,2,66.2,improving
70,3,66.5,improving
70,4,67.1,improving
70,5,80.2,improving
70,6,68.3,improving
70,7,79.2,improving
70,8,82.0,improving
70,9,81.5,improving
70,10,85.2,improving
70,11,91.4,improving
70,12,76.7,improving
70,13,81.4,improving
70,14,78.6,improving
71,1,48.1,declining
71,2,55.3,declining
71,3,49.0,declining
71,4,43.5,declining
71,5,51.0,declining
71,6,46.8,declining
71,7,45.6,declining
71,8,36.7,declining
71,9,31.3,declining
71,10,48.3,declining
71,11,40.0,declining
71,12,50.2,declining
71,13,40.7,declining
71,14,34.5,declining
72,1,61.0,volatile
72,2,52.0,volatile
72,3,80.4,volatile
72,4,59.9,volatile
72,5,53.7,volatile
72,6,51.0,volatile
72,7,75.2,volatile
72,8,59.1,volatile
72,9,44.3,volatile
72,10,63.6,volatile
72,11,57.1,volatile
72,12,70.6,volatile
72,13,54.4,volatile
72,14,58.5,volatile
72,15,55.6,volatile
72,16,64.2,volatile
72,17,71.0,volatile
72,18,50.3,volatile
72,19,69.6,volatile
73,1,47.4,declining
73,2,41.9,declining
73,3,49.9,declining
73,4,44.7,declining
73,5,42.6,declining
73,6,42.4,declining
73,7,36.6,declining
73,8,37.0,declining
73,9,34.3,declining
73,10,32.0,declining
73,11,29.5,declining
73,12,32.3,declining
73,13,41.8,declining
73,14,29.3,declining
74,1,80.7,volatile
74,2,42.6,volatile
74,3,61.4,volatile
74,4,58.5,volatile
74,5,40.0,volatile
74,6,71.8,volatile
74,7,65.5,volatile
74,8,58.2,volatile
74,9,73.0,volatile
74,10,56.5,volatile
74,11,58.6,volatile
74,12,55.9,volatile
74,13,51.5,volatile
74,14,63.9,volatile
74,15,41.9,volatile
74,16,53.8,volatile
74,17,71.3,volatile
75,1,43.9,declining
75,2,43.7,declining
75,3,39.8,declining
75,4,41.0,declining
75,5,33.0,declining
75,6,32.6,declining
75,7,36.5,declining
75,8,26.6,declining
75,9,31.7,declining
75,10,46.7,declining
75,11,28.7,declining
75,12,24.6,declining
75,13,25.2,declining
75,14,19.4,declining
75,15,30.2,declining
75,16,24.4,declining
76,1,60.5,improving
76,2,58.4,improving
76,3,52.8,improving
76,4,62.9,improving
76,5,63.4,improving
76,6,57.7,improving
76,7,69.0,improving
76,8,61.0,improving
76,9,79.6,improving
76,10,79.5,improving
76,11,73.9,improving
76,12,82.9,improving
76,13,86.1,improving
76,14,80.2,improving
76,15,92.8,improving
76,16,87.1,improving
76,17,99.3,improving
77,1,58.6,improving
77,2,67.5,improving
77,3,61.1,improving
77,4,65.5,improving
77,5,67.6,improving
77,6,68.6,improving
77,7,69.8,improving
77,8,70.4,improving
78,1,46.6,declining
78,2,49.0,declining
78,3,57.4,declining
78,4,48.3,declining
78,5,44.9,declining
78,6,41.0,declining
78,7,37.8,declining
78,8,46.3,declining
78,9,45.8,declining
78,10,39.7,declining
78,11,46.4,declining
78,12,35.3,declining
78,13,39.4,declining
78,14,31.3,declining
78,15,35.4,declining
78,16,29.0,declining
78,17,27.7,declining
78,18,39.5,declining
78,19,33.0,declining
79,1,49.9,declining
79,2,46.1,declining
79,3,54.8,declining
79,4,37.4,declining
79,5,38.0,declining
79,6,38.7,declining
79,7,41.9,declining
79,8,41.3,declining
79,9,42.6,declining
79,10,42.8,declining
79,11,25.7,declining
79,12,21.8,declining
79,13,27.7,declining
80,1,54.0,declining
80,2,46.5,declining
80,3,50.2,declining
80,4,48.2,declining
80,5,45.7,declining
80,6,44.7,declining
80,7,43.8,declining
80,8,47.8,declining
80,9,41.0,declining
80,10,41.9,declining
80,11,44.9,declining
80,12,39.9,declining
80,13,40.5,declining
80,14,43.0,declining
80,15,34.3,declining
80,16,30.9,declining
80,17,33.6,declining
80,18,23.8,declining
81,1,65.4,improving
81,2,60.6,improving
81,3,54.1,improving
81,4,59.2,improving
81,5,61.1,improving
81,6,63.8,improving
81,7,70.2,improving
81,8,65.5,improving
82,1,42.6,declining
82,2,48.2,declining
82,3,42.4,declining
82,4,47.9,declining
82,5,49.2,declining
82,6,46.2,declining
82,7,47.7,declining
82,8,29.7,declining
82,9,44.9,declining
82,10,44.8,declining
83,1,37.9,declining
83,2,45.5,declining
83,3,46.6,declining
83,4,44.0,declining
83,5,34.2,declining
83,6,39.6,declining
83,7,44.2,declining
83,8,43.5,declining
83,9,42.0,declining
84,1,69.9,plateau
84,2,68.9,plateau
84,3,73.0,plateau
84,4,74.6,plateau
84,5,80.6,plateau
84,6,73.2,plateau
84,7,69.2,plateau
84,8,64.3,plateau
84,9,75.3,plateau
85,1,59.9,volatile
85,2,47.5,volatile
85,3,46.7,volatile
85,4,68.2,volatile
85,5,59.1,volatile
85,6,61.2,volatile
85,7,57.0,volatile
85,8,54.0,volatile
85,9,37.7,volatile
85,10,35.3,volatile
85,11,58.4,volatile
86,1,66.5,plateau
86,2,64.5,plateau
86,3,80.0,plateau
86,4,72.8,plateau
86,5,75.6,plateau
86,6,66.0,plateau
86,7,73.7,plateau
86,8,74.7,plateau
86,9,77.4,plateau
86,10,75.8,plateau
86,11,74.2,plateau
86,12,70.2,plateau
86,13,72.3,plateau
87,1,56.2,declining
87,2,47.0,declining
87,3,57.9,declining
87,4,52.5,declining
87,5,42.3,declining
87,6,38.3,declining
87,7,45.2,declining
87,8,44.3,declining
87,9,42.1,declining
87,10,39.3,declining
87,11,36.2,declining
87,12,30.4,declining
87,13,42.8,declining
87,14,24.5,declining
87,15,38.1,declining
87,16,23.2,declining
88,1,42.5,improving
88,2,46.2,improving
88,3,46.7,improving
88,4,49.9,improving
88,5,55.5,improving
88,6,53.5,improving
88,7,54.1,improving
88,8,49.1,improving
88,9,58.6,improving
88,10,56.3,improving
88,11,71.5,improving
88,12,63.9,improving
88,13,66.6,improving
89,1,68.5,volatile
89,2,48.6,volatile
89,3,60.9,volatile
89,4,75.0,volatile
89,5,47.7,volatile
89,6,52.8,volatile
89,7,57.2,volatile
89,8,66.8,volatile
89,9,62.7,volatile
89,10,74.7,volatile
89,11,58.5,volatile
89,12,56.3,volatile
89,13,60.2,volatile
89,14,70.3,volatile
89,15,69.4,volatile
89,16,50.5,volatile
89,17,73.2,volatile
89,18,70.0,volatile
90,1,38.5,declining
90,2,41.6,declining
90,3,39.3,declining
90,4,39.7,declining
90,5,42.0,declining
90,6,36.1,declining
90,7,41.0,declining
90,8,30.1,declining
90,9,26.4,declining
90,10,36.4,declining
90,11,45.7,declining
90,12,32.5,declining
90,13,32.7,declining
90,14,30.9,declining
90,15,36.0,declining
90,16,33.3,declining
91,1,72.2,declining
91,2,72.7,declining
91,3,66.6,declining
91,4,62.6,declining
91,5,66.5,declining
91,6,69.3,declining
91,7,70.8,declining
91,8,66.9,declining
91,9,64.6,declining
91,10,58.6,declining
91,11,64.0,declining
91,12,53.1,declining
91,13,56.5,declining
91,14,54.1,declining
91,15,52.6,declining
91,16,47.9,declining
91,17,55.3,declining
91,18,57.0,declining
92,1,54.6,declining
92,2,50.1,declining
92,3,46.5,declining
92,4,44.7,declining
92,5,37.9,declining
92,6,48.0,declining
92,7,43.0,declining
92,8,45.0,declining
92,9,38.1,declining
92,10,52.3,declining
92,11,44.7,declining
92,12,40.2,declining
92,13,25.9,declining
92,14,32.0,declining
92,15,39.5,declining
93,1,76.9,volatile
93,2,85.2,volatile
93,3,73.9,volatile
93,4,64.1,volatile
93,5,61.8,volatile
93,6,59.5,volatile
93,7,65.3,volatile
93,8,70.1,volatile
93,9,58.7,volatile
93,10,61.5,volatile
93,11,59.5,volatile
93,12,73.9,volatile
